  Year,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
2022,이정후,키움,0.349,142,627,553,85,193,36,10,23,318,113,0,3,69,154,177,0.87,15,2.06,3.69,0.226,120.2,0.333
2022,피렐라,삼성,0.342,141,630,561,102,192,33,4,28,317,109,0,2,65,149,141,1.06,12,0.68,3.45,0.223,114.4,0.326
2022,박건우,NC,0.336,111,463,408,52,137,18,1,10,187,61,0,3,29,100,112,0.89,7,0.71,3.87,0.123,72.1,0.298
2022,이대호,롯데,0.331,142,591,540,53,179,23,0,23,271,101,0,6,46,150,161,0.93,9,0.77,3.58,0.17,90.5,0.296
2022,나성범,KIA,0.32,144,649,563,92,180,39,2,21,286,97,0,5,62,117,134,0.87,9,0.47,3.75,0.188,110.9,0.308
2022,김혜성,키움,0.318,129,566,516,81,164,18,7,4,208,48,0,3,29,165,107,1.54,5,0.57,3.87,0.085,78.5,0.269
2022,문보경,LG,0.315,126,466,406,52,128,22,3,9,183,56,5,7,34,124,105,1.18,7,0.84,3.73,0.135,69.7,0.285
2022,소크라테스,KIA,0.311,127,554,514,83,160,29,7,17,254,77,0,4,53,125,152,0.82,8,0.42,3.65,0.183,82.8,0.283
2022,페르난데스,두산,0.309,139,550,508,52,157,28,0,6,203,77,0,5,34,194,117,1.66,4,0.78,3.78,0.091,60.2,0.259
2022,조용호,KT,0.308,131,531,474,52,146,18,4,3,181,44,2,3,25,134,123,1.09,9,0.66,3.97,0.074,68.9,0.264
2022,한동희,롯데,0.307,129,499,456,43,140,27,0,14,209,65,0,4,41,154,102,1.51,4,0.52,3.52,0.151,69.2,0.276
2022,전준우,롯데,0.304,120,517,470,73,143,31,1,11,209,68,0,9,43,146,117,1.25,7,0.48,3.57,0.14,70.3,0.269
2022,최지훈,SSG,0.304,144,640,569,93,173,32,4,10,243,61,13,4,46,151,172,0.88,9,0.61,3.63,0.123,90,0.27
2022,박성한,SSG,0.298,140,564,494,68,147,24,4,2,185,56,6,2,30,156,112,1.39,7,0.74,3.99,0.077,70.7,0.262
2022,마티니,NC,0.296,139,576,510,67,151,34,1,16,235,85,0,7,51,123,157,0.78,6,0.59,3.81,0.165,85.7,0.28
